APIES,RAZON_SOCIAL,DIRECCION,LOCALIDAD,PARTIDO,PROVINCIA,REGISTRO_AUTOMOTOR,CODIGO_POSTAL
1643,RIO NEGRO COMBUSTIBLES SRL E/FOR,ALSINA E ISLAS MALVINAS,GRAL.ROCA,GRAL ROCA,RIO NEGRO,GRAL. ROCA (RIO NEGRO),8332
1648,OPESSA VILLEGAS,RUTA NACIONAL 188 KM () Y RUTA NAC 33,GENERAL VILLEGAS,GENERAL VILLEGAS,BUENOS AIRES,GENERAL VILLEGAS,6230
1676,OPESSA ACA JUNIN,GRAL. CORNELIO SAAVEDRA Y LEBEHNSON,JUNIN,JUNIN,BUENOS AIRES,JUNIN,6000
1708,ACA LINCOLN,AVENIDA MASSEY Y RAWSON,LINCOLN,LINCOLN,BUENOS AIRES,LINCOLN,6070
1728,OPESSA ALBERTI,ALBERTI Y BUENOS AIRES,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,MAR DEL PLATA,7600
1732,ACA MAR DEL PLATA BROWN,ALMIRANTE BROWN Y SANTA FE,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,MAR DEL PLATA,7600
1734,BASSO HNOS SACIFA,AV. JUAN B. JUSTO Y TUCUMAN,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,MAR DEL PLATA,7600
1735,BASSO HNOS SACIFA,AV. MARTINEZ DE HOZ Y ELCANO,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,MAR DEL PLATA,7600
1786,ACA NECOCHEA,AVENIDA 59 2073 Y CALLE 48,NECOCHEA,NECOCHEA,BUENOS AIRES,NECOCHEA,7630
1798,NEUQUEN PETRO OESTE SRL,PTE ARTURO HUMBERTO ILLIA E ISLAS MALVINAS,NEUQUEN,CONFLUENCIA,NEUQUEN,NEUQUEN,8300
1807,GUAZZARONI SERGIO M Y GRECO MARGARITA M,AVENIDA MITRE Y AVENIDA AGUSTIN ALVAREZ,9 DE JULIO,9 DE JULIO,BUENOS AIRES,NUEVE DE JULIO,6500
1831,MARONO A Y MORONO MARIO A SH,JUAN MARIA GUTIERREZ Y ALSINA,PEHUAJO,PEHUAJO,BUENOS AIRES,PEHUAJO,6450
1847,OPESSA ACA PINAMAR,JASON Y JUPITER,PINAMAR,PINAMAR,BUENOS AIRES,PINAMAR,7167
1913,CHITCHIAN SA,AVENIDA BUSTILLOS Y MICHAY,BARILOCHE,BARILOCHE,RIO NEGRO,SAN CARLOS DE BARILOCHE ,8400
1925,OPESSA SAN MARTIN DE LOS ANDES,AVENIDA KOESSLER Y CURRUHUINCA,SAN MARTIN DE LOS ANDES,LACAR,NEUQUEN,SAN MARTIN DE LOS ANDES,8370
1936,PETROLURO SA,ENTRE RIOS Y AVDA AGUSTIN SPINETTO,SANTA ROSA,LA PAMPA CAPITAL,LA PAMPA,SANTA ROSA ,6300
1951,PETROTANDIL SACIEI,AVENIDA ARISTOBULO DEL VALLE Y FIGUEROA,TANDIL,TANDIL,BUENOS AIRES,TANDIL,7000
1956,OPESSA TANDIL II,AV. AVELLANEDA Y BOLIVAR,TANDIL,TANDIL,BUENOS AIRES,TANDIL,7000
1980,DON PACO COMBUSTIBLES SRL,ROCA Y ORO,TRENQUE LAUQUEN,TRENQUE LAUQUEN,BUENOS AIRES,TRENQUE LAUQUEN,6400
1984,OPESSA ACA LAVALLE,COLON Y LAVALLE,TRES ARROYOS,TRES ARROYOS,BUENOS AIRES,TRES ARROYOS,7500
1995,ACA USHUAIA,AVENIDA MALVINAS ARGENTINAS ENTRE JAINEN Y ONACHAGA,USHUAIA,USHUAIA,TIERRA DEL FUEGO,USHUAIA,9410
2011,OPESSA VILLA GESELL,AVENIDA BUENOS AIRES Y BLVD GESELL,VILLA GESELL,VILLA GESELL,BUENOS AIRES,PINAMAR,7165
2032,MANZI SRL,AVENIDA COLON 4272 ,CORDOBA,CORDOBA CAPITAL,CORDOBA,CORDOBA,5003
2039,OPESSA TEJEDOR,AV. CONSTITUCIÓN Y TEJEDOR,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,MAR DEL PLATA,7600
2054,ECHANIZ HNOS SA,DE LOS ALEMANES 44300 ESQ SPILIMBERGO,CORDOBA,CORDOBA CAPITAL,CORDOBA,CORDOBA,5000
2056,SALGAS SA,AV. BRIG GRAL JUAN MANUEL DE ROSAS 4884 ,SAN MARTIN,SAN MARTIN,BUENOS AIRES,SAN MARTIN (BS AS),1650
2060,OPESSA CORDOBA PLANAS,AV. RAFAEL NUÑEZ 4014 Y PLANAS ,CORDOBA,CORDOBA CAPITAL,CORDOBA,CORDOBA,5009
2084,SUCESION DE REYNOSO JOSE,AVENIDA LAS MALVINAS 2595,CORDOBA,CORDOBA CAPITAL,CORDOBA,CORDOBA,5012
2100,OPESSA ACA SABATTINI,AVENIDA SABATTINI Y ACCESO RUTA NACIONAL N° 9,CORDOBA,CORDOBA CAPITAL,CORDOBA,CORDOBA,5000
2101,OPESSA CORDOBA ARGUELLO,AVENIDA RECTA MARTINOLI Y TICHO BRAHE,ARGUELLO,CORDOBA CAPITAL,CORDOBA,CORDOBA,5147
2144,ACA CORDOBA CENTRO,AVENIDA GENERAL JOSE MARIA PAZ 499 Y HUMBERTO PRIMO,CORDOBA,CORDOBA CAPITAL,CORDOBA,CORDOBA,5000
2180,FONTI DE MARTINATTO NILDA NILA Y OTROS SH,BOULEVARD FULVIO SALVADOR PAGANI 1321,ARROYITO,SAN JUSTO,CORDOBA,ARROYITO,2434
2237,"MARTINI GUSTAVO, ALEJANDRA Y CAROLINA SH",RUTA NACIONAL 9 KM (ASCENDENTE) Y TUCUMAN,MARCOS JUAREZ,MARCOS JUAREZ,CORDOBA,MARCOS JUAREZ,2580
2258,BARALE HNOS SA,AVENIDA GRAL MANUEL N SAVIO 2200,RIO TERCERO,TERCERO ARRIBA,CORDOBA,RIO TERCERO,5850
2266,VALENTIN ATILIO Y MIGUEL CAON SH,MARCELO T DE ALVEAR 829,VILLA MARIA,GRAL SAN MARTIN,CORDOBA,VILLA MARIA,5900
2362,OPESSA MATE DE LUNA I,AVENIDA MATE DE LUNA Y EJERCITO DEL NORTE,S.M.TUCUMAN,TUCUMAN CAPITAL,TUCUMAN,TUCUMAN,4000
2393,ACA RIO CUARTO,AVENIDA ESPA#A 280 Y P. ZANNI,RIO CUARTO,RIO CUARTO,CORDOBA,RIO CUARTO,5800
2398,PETROBAN SRL,AVENIDA BELGRANO 602 Y MORENO,LA BANDA,BANDA,SANTIAGO DEL ESTERO,LA BANDA,4300
2441,OPESSA SANTIAGO DEL ESTERO,AVENIDA EJERCITO ARGENTINO Y RIVADAVIA,S.DEL ESTERO,SANTIAGO DEL ESTERO CAP,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO ,4200
2446,OPESSA TUCUMAN,B. ARAOZ Y W. POSE,S.M.TUCUMAN,TUCUMAN CAPITAL,TUCUMAN,TUCUMAN,4000
2450,TIBURCIO SANZ SA,AVENIDA SAN MARTIN (1RA CUADRA S/N) Y GUATEMALA,BANDA D.RIO SALI,CRUZ ALTA,TUCUMAN,TUCUMAN,4109
2470,PRODUCCION SA,AVENIDA PRES GRAL J A ROCA Y FRIAS SILVA,S.M.TUCUMAN,TUCUMAN CAPITAL,TUCUMAN,TUCUMAN,4000
2498,PETRONORTE SA,25 DE MAYO 600 Y CORRIENTES,S.M.TUCUMAN,TUCUMAN CAPITAL,TUCUMAN,TUCUMAN,4000
2505,DANOVIS SA,AVENIDA FRANCISCO DE AGUIRRE 598 Y MUÑECAS,S.M.TUCUMAN,TUCUMAN CAPITAL,TUCUMAN,TUCUMAN,4000
2523,E/S EL CHANGO SRL,AVENIDA PARAGUAY Y AVDA BELGICA,SALTA,SALTA CAPITAL,SALTA,SALTA,4400
2531,OPESSA SHOPPING MENDOZA,ACCESO ESTE Y AVELLANEDA,SAN JOSE,GUAYMALLEN,MENDOZA,MENDOZA,5519
2536,OPESSA RICCHIERI EZEIZA,AUTOPISTA TTE GRAL PABLO RICCHIERI KM 33 (Ascendente) ,TAPIALES,LA MATANZA,BUENOS AIRES,LA MATANZA,1770
2550,ESTACION VISION SRL,VICTORIANO DE LA PLAZA Y FRANCISCO ARIAS,SALTA,SALTA CAPITAL,SALTA,SALTA,4400
2563,OPESSA RICCHIERI CAPITAL,AUTOPISTA TTE GRAL PABLO RICCHIERI KM 36.250 (Descendente),TAPIALES,LA MATANZA,BUENOS AIRES,LA MATANZA,1770
2589,OPESSA JUJUY,GENERAL GÜEMES Y LAMADRID,S.S.DE JUJUY,DR MANUEL BELGRANO,JUJUY,SAN SALVADOR DE JUJUY,4600
2595,SANTA ISABEL SRL,AVENIDA 20 DE FEBRERO Y ESPAÑA,TARTAGAL,GRAL SAN MARTIN,SALTA,SAN MARTIN (TARTAGAL),4560
2604,NAFPUR SA,AV DELLEPIANE SUR 5504 Y LARRAZABAL,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1439
2606,MATIAS AMENGUAL SRL,AVENIDA DR ENRIQUE OCAMPO Y NIEVA CASTILLA,CATAMARCA,CATAMARCA CAPITAL,CATAMARCA,CATAMARCA,4700
2626,OPESSA LA RIOJA,AVENIDA RIVADAVIA Y BENJAMIN DE LA VEGA,LA RIOJA,LA RIOJA CAPITAL,LA RIOJA,LA RIOJA,5300
2657,OPESSA SAN JUAN,AVENIDA RAWSON SUR 216 Y RIVADAVIA,SAN JUAN,SAN JUAN CAPITAL,SAN JUAN,TOTAL SAN JUAN,5400
2680,SANTA CLARA SRL,RIVADAVIA OESTE Y SALTA,SAN JUAN,SAN JUAN CAPITAL,SAN JUAN,TOTAL SAN JUAN,5400
2694,OPESSA ACA SAN JUAN,9 DE JULIO ESTE 802 Y RAWSON,SAN JUAN,SAN JUAN CAPITAL,SAN JUAN,TOTAL SAN JUAN,5400
2704,MENDOZA FUNDACIONAL,PALACIOS Y BELTRAN,MENDOZA,MENDOZA CAPITAL,MENDOZA,MENDOZA,5500
2712,E/S GENERAL LAS HERAS SRL,PRES. GRAL. J. A. ROCA Y DR MORENO,LAS HERAS,LAS HERAS,MENDOZA,MENDOZA,5539
2728,IGNIS SRL,AVENIDA GRAL SAN MARTIN Y CHACABUCO,GODOY CRUZ,GODOY CRUZ,MENDOZA,MENDOZA,5501
2734,JUAN RICCI SACI,SARMIENTO Y CERVANTES,GODOY CRUZ H,GODOY CRUZ,MENDOZA,MENDOZA,5547
2737,IGNIS SRL,VIAMONTE Y LARREA,CHACRAS DE CORIA,LUJAN DE CUYO,MENDOZA,MENDOZA,5505
2738,SERVICIOS JYF SA,REMEDIOS DE ESCALADA 3350,GUAYMALLEN,GUAYMALLEN,MENDOZA,MENDOZA,5519
2744,OPESSA ACA MENDOZA,SAN MARTIN 958 Y AMIGORENA,MENDOZA,MENDOZA CAPITAL,MENDOZA,MENDOZA,5500
2784,OPESSA ACA SAN RAFAEL,AVENIDA HIPOLITO YRIGOYEN 515 Y 9 DE JULIO,SAN RAFAEL,SAN RAFAEL,MENDOZA,SAN RAFAEL,5600
2812,MASETTO NAZARENO GABRIEL,JOSE ALBERTO OZAMIS Y PALMA,MAIPU,MAIPU,MENDOZA,MENDOZA,5515
2849,CHADA JOSE SALVADOR,AVENIDA LAFINUR Y BOLIVAR,SAN LUIS,SAN LUIS CAPITAL,SAN LUIS,SAN LUIS,5700
2875,VEINTICINCO DE MAYO SRL,BETBEDER Y AVENIDA 25 DE MAYO,VILLA MERCEDES,GRAL PEDERNERA,SAN LUIS,VILLA MERCEDES,5730
2881,EL TENAZ SRL,AV. JUAN B. JUSTO Y AV. GALES,PUERTO MADRYN,VIEDMA,CHUBUT,PUERTO MADRYN ,9120
2903,OPESSA GALARZA,GALARZA 1773 Y 9 DE JULIO,CONC.DEL URUGUAY,URUGUAY,ENTRE RIOS,CONCEPCION DEL URUGUAY,3260
2907,OPESSA WALL MART CONSTITUYENTES,AVENIDA DE LOS CONSTITUYENTES 6070 ,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1413
2914,SERVICIOS PILMAYQUEN SRL,HIPOLITO YRIGOYEN Y PILMAIQUEN,BAHIA BLANCA,BAHIA BLANCA,BUENOS AIRES,BAHIA BLANCA,8000
2916,OPESSA JUMBO PILAR,"LAS MAGNOLIAS Y RUTA PANAMERICANA KM. 50,5",PILAR,PILAR,BUENOS AIRES,PILAR,1629
2917,OPESSA RAFAELA,BOULEVARD ROCA Y ARENALES,RAFAELA,CASTELLANOS,SANTA FE,RAFAELA,2300
2918,OPESSA SAN ANTONIO,CATAMARCA 90 Y PELLEGRINI,CONCORDIA,CONCORDIA,ENTRE RIOS,CONCORDIA,3200
2924,CHITCHIAN SA,DR ANGEL GALLARDO Y ELORDI,BARILOCHE,BARILOCHE,RIO NEGRO,SAN CARLOS DE BARILOCHE ,8400
2933,VESIM SAICF,MONS PABLO CABRERA 6050,CORDOBA,CORDOBA CAPITAL,CORDOBA,CORDOBA,5000
2938,DA COSTA E HIJOS SA,RUTA NACIONAL 36 KM Y BOMBERO ZENZABELLO,FCIO.VARELA,FLORENCIO VARELA,BUENOS AIRES,FCIO.VARELA,1888
2958,REGI-GRUPO SA,VELEZ SARFIELD Y RIVADAVIA,AGUILARES,CHICLIGASTA,TUCUMAN,CONCEPCIÓN (TUC),4152
2967,GALVAN REY SERGIO ALEJANDRO,LOPEZ ENTRE PLANEZ Y MATIENZO,CONCEPCION,CHICLIGASTA,TUCUMAN,CONCEPCIÓN (TUC),4146
2972,TORAZO SRL,AV. MAIPU Y PELLIZA,OLIVOS,VICENTE LOPEZ,BUENOS AIRES,OLIVOS,1636
2982,PARQUE COMBUSTIBLES SA,AV. JUAN B JUSTO Y AV. BOULOGNE SUR MER,MENDOZA,MENDOZA CAPITAL,MENDOZA,MENDOZA,5500
3002,OPESSA MORON,AV. BARTOLOME MITRE 1666 Y TOMAS GUIDO,MORON,MORON,BUENOS AIRES,MORON,1708
3003,OPESSA AUSOL PILAR SUR,AUTOPISTA DEL SOL RAMAL PILAR (LADO BS.AS.) KM 36.500 (DESCENDENTE),TORTUGUITAS,MALVINAS ARGENTINAS,BUENOS AIRES,MALVINAS ARGENTINAS,1667
3009,E/S 25 DE JUNIO SA,ALMIRANTE BROWN Y BLAS PARERA,PARANA,PARANA,ENTRE RIOS,PARANA,3100
3022,OPESSA TURDERA,AV. ANTARTIDA ARGENTINA 696 Y FRIAS,TURDERA,LOMAS DE ZAMORA,BUENOS AIRES,LOMAS DE ZAMORA,1834
3048,OPESSA OLIVERA,DIRECTORIO Y OLIVERA,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1407
3073,OPESSA MELO,AV. DEL LIBERTADOR 901 Y MELO,VICENTE LOPEZ,VICENTE LOPEZ,BUENOS AIRES,OLIVOS,1638
3088,OPESSA ITUZAINGO,INT CARLOS RATTI 1720 Y MONROE,ITUZAINGO,MORON,BUENOS AIRES,MORON,1714
3105,OPESSA YATAY,AV. DIAZ VELEZ 4373 Y YATAY,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1200
3143,ALBERDI GAS SA,AV. JUAN B. ALBERDI 5628,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1440
3160,OPESSA PRINGLES,AV. CORDOBA 4201 Y PRINGLES,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1414
3217,AREST SA,CNO CENTENARIO Y CALLE 9,CITY BELL,LA PLATA,BUENOS AIRES,LA PLATA,1896
3224,PETROMADRID SA,AVENIDA MADRID Y LOS MATACOS,CORDOBA,CORDOBA CAPITAL,CORDOBA,CORDOBA,5000
3227,RAUL E ALONSO SRL,AVENIDA LOPEZ Y PLANES Y ROCAMORA,POSADAS,POSADAS,MISIONES,POSADAS,3300
3230,LUCAM SA,AVENIDA L N ALEM Y PUERTO DE PALOS ,CORDOBA,CORDOBA CAPITAL,CORDOBA,CORDOBA,5012
3231,FINARVIS SRL,AYACUCHO Y AVENIDA GODOY CRUZ ,RIO CUARTO,RIO CUARTO,CORDOBA,RIO CUARTO,5800
3232,OPESSA BERNAL,AV. ZAPIOLA 26 Y SAN MARTIN,BERNAL,QUILMES,BUENOS AIRES,QUILMES,1876
3235,OPESSA VILLA ALLENDE,AV. GOYCOCHEA 1169 ,VILLA ALLENDE,COLON,CORDOBA,VILLA ALLENDE,5102
3237,BRAGAS SRL,ACCESO ELIZONDO Y COMBATE DE SAN LORENZO,BRAGADO,BRAGADO,BUENOS AIRES,BRAGADO,6640
3242,J&P SA,AVENIDA SAN MARTIN Y SANTIAGO R CAJAL N,SAN JUAN,SAN JUAN CAPITAL,SAN JUAN,TOTAL SAN JUAN,5400
3246,LUCAM SA,LIBERTAD ESQ ESQUIU,CORDOBA,CORDOBA CAPITAL,CORDOBA,CORDOBA,5000
3260,NICARAGUA SA,AV. MITRE Y NICARAGUA,SARANDI,AVELLANEDA,BUENOS AIRES,AVELLANEDA (BS AS),1872
3263,OPESSA CORDOBA LA FRANCE,MONSE#OR PABLO CABRERA Y CARDE#OZA,CORDOBA,CORDOBA CAPITAL,CORDOBA,CORDOBA,5000
3264,OPESSA CORDOBA RAFAEL NUÑEZ,AVENIDA RAFAEL NUÑEZ 4595 Y ECHENIQUE,CORDOBA,CORDOBA,CORDOBA,CORDOBA,5000
3270,DGB SRL,ITUZAINGO Y DEAN FUNES,VILLA DOLORES,SAN JAVIER,CORDOBA,VILLA DOLORES,5870
3299,OPESSA AUTOPISTA NORTE,AUTOPISTA LA PLATA / BUENOS AIRES KM 10.500 (ASCENDENTE),AVELLANEDA,AVELLANEDA,BUENOS AIRES,AVELLANEDA (BS AS),1870
3309,NEUQUEN PETRO OESTE SRL,GRAL JOSE DE SAN MARTIN Y TTE JUAN SOLALIQUE,NEUQUEN,CONFLUENCIA,NEUQUEN,NEUQUEN,8300
3318,OPESSA NICARAGUA,AV. JUAN B. JUSTO 1215 Y NICARAGUA,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1414
3319,OPESSA PARCHAPPE,AV. PARCHAPPE Y FALUCHO,BAHIA BLANCA,BAHIA BLANCA,BUENOS AIRES,BAHIA BLANCA,8000
3326,OPESSA AVELLANEDA VIAS,AV. HIPOLITO YRIGOYEN 1067 ,AVELLANEDA,AVELLANEDA,BUENOS AIRES,AVELLANEDA (BS AS),1870
3328,ESER SA,AVENIDA SAN MARTIN Y GALILEO,VILLA CARLOS PAZ,PUNILLA,CORDOBA,VILLA CARLOS PAZ,5152
3329,OPESSA AUSOL CAMPANA OESTE,AUTOPISTA DEL SOL RAMAL CAMPANA (LADO A BS. AS.) KM 36.500 (DESCENDENTE),GRAND BOURG,MALVINAS ARGENTINAS,BUENOS AIRES,MALVINAS ARGENTINAS,1615
3330,OPESSA SALTA,AVENIDA TOLEDO Y PASAJE N. ROLDAN,SALTA,SALTA CAPITAL,SALTA,SALTA,4400
3334,OPESSA TUCUMAN BULNES,AVENIDA BELGRANO Y BULNES,S.M.TUCUMAN,TUCUMAN CAPITAL,TUCUMAN,TUCUMAN,4000
3338,OPESSA VENADO TUERTO,RUTA NACIONAL 8 KM (ASCENDENTE) E H. YRIGOYEN,VENADO TUERTO,GRAL LOPEZ,SANTA FE,VENADO TUERTO,2600
3340,OPESSA AZURDUY,AV. CABILDO 3501 Y JUANA AZURDUY,C.A.B.A.,C.A.B.A.,C.A.B.A.,CABA,1429
11770,WIND SA,AVENIDA SAN MARTIN Y ANDRADE,LAS HERAS,LAS HERAS,MENDOZA,MENDOZA,5539
11791,ALLUB HNOS SRL,ALEM Y PIROVANO,SAN MARTIN,SAN MARTIN,MENDOZA,SAN MARTIN (MZA),5570
12219,GNP SRL,CENTENARIO Y POSADAS,ITUZAINGO,ITUZAINGO,CORRIENTES,ITUZAINGO (CORRIENTES),3302
16053,ESTACIONAMIENTOS TIGRE SA,LARRALDE 2075 Y ACCESO PANAMERICANA RAMAL TIGRE,TIGRE,TIGRE,BUENOS AIRES,TIGRE,1648
30571,FLORIPO SA,COLECTORA PANAMERICANA Y BELGRANO,DON TORCUATO,TIGRE,BUENOS AIRES,TIGRE,1611
30592,VESINM SA,AVENIDA JUAN B JUSTO 5075,CORDOBA,CORDOBA CAPITAL,CORDOBA,CORDOBA,5000
30854,POZZO ARDIZZI SA,25 DE MAYO 900 Y PUEYRREDON,VIEDMA,ADOLFO ALSINA,RIO NEGRO,VIEDMA,8500
30943,OPESSA NORDELTA,AVENIDA DE LOS LAGOS 330,TIGRE,BUENOS AIRES,BUENOS AIRES,TIGRE,1648
30964,MENDOZA FUNDACIONAL S.A. (II),AVENIDA GOBERNADOR VIDELA Y ARISTOBULO DEL VALLE,San José,GUAYMALLEN,MENDOZA,MENDOZA,5519
15551,ANGELA NESCI SRL,RUTA NACIONAL 22 KM (Ascendente) Y TEGUDCIGALPA,NEUQUEN,CONFLUENCIA,NEUQUEN,NEUQUEN,8300
